OBJECTID,MUNICIPALITE,NUMERO_DE_FICHE,PARCOURS,NOM_DE_L_OEUVRE,ANNEE,EMPLACEMENT,PROMOTEUR,PROPRIETE,CATEGORIE,MATERIAUX,TECHNIQUE,DIMENSIONS,Y_LATITUDE,X_LONGITUDE,NOM_ARTISTE,COORDONNEE_ARTISTE,SITE_WEB_ARTISTE,INDICATION,ETAT,GEOM
11,10043,EXT-05,Parcours de la Cathédrale,Murale Jeu'n'Art,2015,Piscine St-Germain, ,Collection d’art public de la Ville de Rimouski,Peinture murale,Béton peint, ,"Longueur 60,00 m",48.44710714,-68.52264344,Yvon Lavoie, , ,Extérieur, ,Point
12,10043,EXT-06,Parcours de la Cathédrale,Le bon élan,2020,Caserne de pompier, ,Collection d’art public de la Ville de Rimouski,Sculpture, , ,,48.4468775,-68.52107418, , , ,Extérieur, ,Point
13,10043,EXT-48,Parcours hors-ville,Jeune famille,1995,Parc de Saint-Blandine, ,Collection d’art public de la Ville de Rimouski,Sculpture,Béton armé coloré dans la masse du moyen d’oxyde de fer, ,"Hauteur 7,00 m - Largeur 10,30 m - Longueur 10,60 m",48.36491817,-68.46347992,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
14,10043,EXT-52,Parcours hors-ville,Sculpture thématique et ses symboles,1996,Bibliothèque de Sainte-Blandine, ,Collection d’art public de la Ville de Rimouski,Installation,"Béton, alluminium, fibre de verre", ,,48.36014035,-68.46099289,Jean-Marc Fillion, , ,Extérieur, ,Point
15,10043,EXT-38,Parcours de l'Est,de profundis,2000,Site historique maritime, ,Site historique maritime,Sculpture aménagement,"Béton, acier corten, peinture, pigment", ,"Hauteur 6,00 m - Largeur 0,50 m - Longueur 5,00 m",48.51715085,-68.46860972,Gilles Girard, , ,Extérieur, ,Point
16,10043,EXT-39,Parcours de l'Est,Empresse-toi contre moi,2014,Site historique maritime, ,Site historique maritime,Sculpture,"Acier, bois", ,,48.51729147,-68.46884578,François Maltais, , ,Extérieur, ,Point
17,10043,EXT-37,Parcours de l'Est,La grande nageuse,2004,Site historique maritime, ,Site historique maritime,Sculpture,"Résine de polyester, fibre de verre, aluminium, acier", ,"Hauteur 1,95 m - Largeur 1,20 m - Longueur 6,00 m",48.51733735,-68.46857219, ,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
18,10043,EXT-42,Parcours Bicois,La Girouette,1988,Théâtre du Bic, ,Collection d’art public de la Ville de Rimouski,Sculpture,"Styromousse, fibre de verre, feuilles de cuivre soudées et usinées", ,"Hauteur 3,00 m - Largeur 0,40 m",48.37430314,-68.70646722,Gilles Girard, , ,Extérieur, ,Point
19,10043,EXT-43,Parcours Bicois,Le Bic d'hier à Aujourd'hui,2015,Épicerie Brillant Marché Richelieu Bic,Maison de la culture du Pic champlain,Maison de la culture du Pic champlain,Murale peinture, , ,,48.37246528,-68.70774937, , , ,Extérieur, ,Point
20,10043,EXT-41,Parcours Bicois,Murales Tunnel cyclable de Bic,2018,Tunnel piste cyclable Bic,Rimouski Ville cyclable,Collection d’art public de la Ville de Rimouski,Murale peinture, , ,,48.37728553,-68.69483552, , , ,Extérieur, ,Point
21,10043,EXT-26,Parcours de la rivière,Les bâtisseurs,1996,Devant le grand stationnement du Parc Beauséjour, ,Collection d’art public de la Ville de Rimouski,Sculpture,Béton armé coloré dans la masse du moyen d’oxyde de fer, ,"Hauteur 7,00 m - Largeur 10,30 m - Longueur 10,60 m",48.43772102,-68.53749702,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
22,10043,EXT-32,Parcours de la rivière,L'allé des sculptures - Première envolée,2012,Parc beauséjour, ,Prêt - Ville de Rimouski,Sculpture,Fibre de verre, ,"Hauteur 4,00 m",48.44106335,-68.53601184,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
23,10043,EXT-33,Parcours de la rivière,L'allé des sculptures - Les trois patine,1995,Parc beauséjour, ,Prêt - Ville de Rimouski,Sculpture,Fibre de verre, ,"Hauteur 3,00 m",48.4412371,-68.5359372,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
24,10043,EXT-31,Parcours de la rivière,L'allé des sculptures - Couple enjoué,2012,Parc beauséjour, ,Prêt - Ville de Rimouski,Sculpture,Fibre de verre, ,"Hauteur 4,00 m",48.44077619,-68.53610092,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
25,10043,EXT-30,Parcours de la rivière,L'allé des sculptures - La rencontre sou,2012,Parc beauséjour, ,Prêt - Ville de Rimouski,Sculpture,Fibre de verre, ,"Hauteur 1,80 m - Largeur 1,65 m - Longueur 9,20 m",48.44046128,-68.53628663,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
26,10043,EXT-29,Parcours de la rivière,L'allé des sculptures - Jeu aquatique,2012,Parc beauséjour, ,Prêt - Ville de Rimouski,Sculpture,Fibre de verre, ,"Hauteur 2,55 m - Largeur 1,50 m - Longueur 3,50 m",48.44062957,-68.5361829,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
27,10043,EXT-28,Parcours de la rivière,L'allé des sculptures - Le tourbillon,2013,Parc beauséjour, ,Prêt - Ville de Rimouski,Sculpture,Fibre de verre, ,"Hauteur 2,80 m - Largeur 1,60 m - Longueur 2,30 m",48.44032865,-68.53632674,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
28,10043,EXT-27,Parcours de la rivière,L'allé des sculptures - Passage à gué,2013,Parc beauséjour, ,Prêt - Ville de Rimouski,Sculpture,Fibre de verre, ,"Hauteur 2,20 m - Largeur 2,20 m - Longueur 3,50 m",48.44024962,-68.53643691,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
29,10043,EXT-34,Parcours de la rivière,Le Trimurale,2000,Sur le terrain entre le boulevard de la Rivière et la rue Tessier, ,Collection d’art public de la Ville de Rimouski,Sculpture,Béton armé coloré dans la masse du moyen d’oxyde de cadmium, ,"Hauteur 4,00 m - Largeur 6,00 m - Longueur 6,00 m",48.44095531,-68.53480041,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
30,10043,EXT-35,Parcours de la rivière,La famille,2010,Devant la Maison des Famille, ,Collection d’art public de la Ville de Rimouski,Sculpture,Fibre de verre, ,"Hauteur 2,30 m - Largeur 1,40 m - Longueur 1,50 m",48.44164301,-68.53493538,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
31,10043,EXT-40,Parcours de l'Est,Le petit prince et la terre,1997,Centre multifonctionnel de Point-au-Père, ,Collection d’art public de la Ville de Rimouski,Sculpture,Coulé en béton mais réalisé en glaise sur une sculpture rigide, ,"Hauteur 0,90 m - Diamètre 1,50 m",48.50525992,-68.45610078,André Gamache, , ,Extérieur, ,Point
32,10043,EXT-36,Parcours de l'Est,L'arbre du millénaire,1999,Halte avenue du père Nouvel, ,Collection d’art public de la Ville de Rimouski,Sculpture,Coulé en béton mais réalisé en glaise sur une sculpture rigide, ,"Hauteur 2,10 m - Diamètre 1,50 m",48.51156479,-68.46175658,André Gamache, , ,Extérieur, ,Point
33,10043,EXT-13,Parcours du centre-ville,Les yeux du coeur,2002,Hôpital de Rimouski, , ,Sculpture,Béton autonivelant, ,"Hauteur 2,30 m - Largeur 1,30 m - Longueur 0,90 m",48.44688146,-68.5308567,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
34,10043,EXT-15,Parcours du centre-ville,La lectrice,2006,Bibliothèque Lisette-Morin, ,Collection d’art public de la Ville de Rimouski,Sculpture,"Résine de polyester, fibre de verre", ,"Largeur 2,10 m - Longueur 1,30 m",48.45179456,-68.52005594,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
35,10043,EXT-16,Parcours du centre-ville,Les générations,2010,Manoir des générations, ,Manoir des générations,Sculpture,Béton armé coloré dans la masse du moyen d’oxyde de fer, ,"Hauteur 2,10 m - Largeur 4,00 m",48.45062733,-68.51605966,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
36,10043,EXT-17,Parcours du centre-ville,l'instant de grâce,1995,À l'arrière des Sœur du St-Rosaire, ,Congrégation des Sœurs de Notre Dame du Saint-Rosaire,Sculpture, , ,"Hauteur 2,30 m",48.44948284,-68.51596794,Christian Girard, , ,Extérieur, ,Point
37,10043,EXT-18,Parcours du centre-ville,Ondulation,2019,Complexe sportif Desjardins,MCC œuvre intégration…1%,Collection d’art public de la Ville de Rimouski,"installation, sculpture", , ,,48.44871433,-68.51250815, , , ,Extérieur, ,Point
38,10043,EXT-19,Parcours du centre-ville,Le couple,1995,Cour intérieure de l'UQAR, ,UQAR,Sculpture,Fibre de verre, ,"Hauteur 2,00 m - Largeur 1,30 m - Longueur 0,90 m",48.45279685,-68.51243444,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
39,10043,EXT-21,Parcours du centre-ville,La consolante,2010,À la maison Marie-Élisabeth, ,Maison Marie-Élisabeth,Sculpture,"Résine de polyester, fibre de verre", ,"Hauteur 2,40 m - Largeur 1,50 m",48.44728482,-68.51563114,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
40,10043,EXT-20,Parcours du centre-ville,L'enfant disparu,2011,Mausolée de Rimouski,UQAR,UQAR,Sculpture,"Résine de polyester, fibre de verre", ,"Hauteur 2,10 m",48.45287147,-68.50954226,Roger Langevin,info@rogerlangevin.com,http://www.rogerlangevin.com,Extérieur, ,Point
41,10043,EXT-22,Parcours du centre-ville,Le vaisseau admirable,2009,Colisé de Rimouski, ,Collection d’art public de la Ville de Rimouski,Sculpture,"Ardoise, acier inoxydable, bois laminé, alluminuim anodisé", ,"Hauteur 7,90 m - Largeur 2,44 m - Longueur 0,41 m",48.44187177,-68.52079166,François Maltais, , ,Extérieur, ,Point
42,10043,EXT-23,Parcours du centre-ville,Murale du Colisée,1965,Colisé de Rimouski, ,Collection d’art public de la Ville de Rimouski,Sculpture,Aluminium anodisé et émaillé, ,"Hauteur 4,60 m - Largeur 24,30 m",48.44186036,-68.52110233,Michel Morin, , ,Extérieur, ,Point
43,10043,EXT-24,Parcours du centre-ville,L'arbre de la nation,1972,SNEQ, ,SNEQ,Sculpture,"Acier, bronze, laiton", ,,48.43848483,-68.5129496, , , ,Extérieur, ,Point
44,10043,EXT-25,Parcours du centre-ville,Le caveau,1996,SNEQ, ,SNEQ,Sculpture,"Pierre, béton, lichen", ,,48.4386836,-68.51251617, , , ,Extérieur, ,Point
45,10043,EXT-44,Parcours hors-ville,Espace intermédiaire,1994,Centre pénitencier de Rimouski, , ,Sculpture,"Béton, acier, tôle ondulé", ,,48.46403671,-68.49977556, , , ,Extérieur, ,Point
46,10043,EXT-45,Parcours hors-ville,L'Aigle de béton,1980,Sûreté du Québec à Rimouski, , ,Sculpture,Béton, ,"Hauteur 2,66 m - Largeur 2,60 m",48.44054436,-68.54437468, , , ,Extérieur, ,Point
47,10043,EXT-12,Parcours du centre-ville,Intersections,2019,Coopérative de solidarité Paradis,Centre d'artistes Caravansérail,Coopérative de solidarité Paradis,Murale peinture, , ,"Hauteur 6,00 m - Largeur 36, 40 m",48.44219521,-68.52971327,Cyndie Belhumeur et Ilana Pichon,https://cyndiebelhumeur.com  https://issuu.com/ilanapichon, ,Extérieur, ,Point
48,10043,EXT-46,Parcours hors-ville,Former trois fois un tiers,1996,Centre de formation Rimouski-Neigette,Intégration…1%,Centre de formation Rimouski-Neigette,Sculpture, , ,"Hauteur 2,00 m",48.4327932,-68.52260157,Danielle April, , ,Extérieur, ,Point
49,10043,EXT-49,Parcours de la rivière,Échanges et transformation,1993,"École l’Aquarelle (St-Robert) 247 rue Saint-Laurent Ouest, Rimouski",Intégration…1%,Comission scolaire des Phares,Installation,"Fibre de verre, panneaux de contreplaqué saturés de résine epoxy, aluminium anodisé, acier inoxydable brossé", ,,48.43974013,-68.53038919,Bruno Santerre, , ,Extérieur, ,Point
50,10043,INT-03, ,Quand les bateaux s’en vont,1994,Bibliothèque de Point-au-Père,Intégration…1%,Ville de Rimouski,Sculpture murale,"Bois, laiton, acier, bronze", ,"Largeur 1,21 m - Longueur 2,63 m",48.51106762,-68.45912406,Lise Lbarie, , , , ,Point
51,10043,INT-02, ,Odyssée,2005,Spect'art, ,Ville de Rimouski,Installation,"bois, cuivre", ,,48.45071194,-68.52866159,André R. Du Bois, , , , ,Point
52,10043,INT-01, ,"Les repères (Voir loin, voir proche)",1988,CLSC de Rimouski,Intégration…1%,CLSC,Images photographiques montées dans des boîtiers lumineux, , ,"Diamètre 0,60 m & 0,52 m & 0,42 m - Hauteur 0,47 m - Longueur 0,75 m",48.45502219,-68.52176716,Bruno Santerre, , , ,"Moyen, les murs ont été repeints d’une autre couleur qu’initialement prévu. Plusieurs boîtiers lumineux ne fonctionnent plus et de nombreuses affiches publicitaires sont installés entre les différentes sections de l’œuvre.",Point
53,10043,INT-04, ,Fable d’étoiles,1995,Université du Québec à Rimouski,Intégration…1%,UQAR, ,"Métal, aluminium, plâtre", ,,48.45237076,-68.51258235,Danielle Sauvé, , , , ,Point
54,10043,INT-05, ,Un jardin en mémoire,2000," 645, boulevard Saint-Germain Ouest, Rimouski",Intégration…1%,Centre d’hébergement et de soins de longue durée de Rimouski,"Installation, peinture et bas-relief, œuvre en 9 parties","Peinture, métal", ,"Hauteur 0,55 m - Longueur 1,85 m",48.43520277,-68.57216204, , , , , ,Point
55,10043,INT-06, ,Les Gouffres de l’esprit no 10,2001,"424 av. Ross, Rimouski",Intégration…1%,Centre de formation professionnel Rimouski-Neigette, ,Peinture, ,"Hauteur 1,22 m - Longueur 1,62 m",48.43183552,-68.52364953,Sylvie Pomerleau, , , , ,Point
56,10043,INT-07, ,Une berceuse pour Jonas,2002,"645, boul. Saint-Germain Ouest, Rimouski",Intégration…1%,Centre d’hébergement et de soins de longue durée de Rimouski, ,"Bas-relief, peinture", ,"Hauteur 6,20 m - Largeur 0,10 m - Longueur 3,00 m",48.43520703,-68.57215168,Lise Labrie, , , , ,Point
57,10043,INT-08, ,"Les paysages, stratification et dissolut",1991,"Parc du Bic (Pavillon d’accueil) Route 132 Est, (secteur Le Bic), Rimouski",Intégration…1%,Parc du Bic,Installation murale,"Masonite, acrylique, bois, métal en feuille gypse", ,,48.35492983,-68.75468704,Bruno Santerre, , , , ,Point
58,10043,INT-09, ,Qui fait l’ange fait la bête,1993,"Musée régional de Rimouski 35 Saint-Germain Ouest, Rimouski",Intégration…1%,Musée Régional de Rimouski,Installation,,Techniques mixtes,,48.45035708,-68.5293593,Lise Labrie, , , , ,Point
59,10043,INT-10, ,"Chute lente d’instrument, Musique-fleuve",1996,"École de Musique du Bas-Saint-Laurent, 22 rue Sainte-Marie, Rimouski",Intégration…1%,École de musique du BSL, ,Techniques mixtes,,"Hauteur 2,08 m - Longueur 0,85 m",48.44996856,-68.52778758,Paul-Émile Saulnier, , , , ,Point
60,10043,INT-11, ,Non titrée,0,"Centre de formation Rimouski-Neigette, 424 rue Ross, Rimouski",Intégration…1%,Centre de formation professionnel Rimouski-Neigette,Murale,"Sérigraphie sur verre, aluminium ajouré", ,"Hauteur 1,05 m - Longueur 1,05 m chaque élément",48.43183154,-68.52363419,Bruno Santerre, , , , ,Point
61,10043,INT-12, ,Refuge de l’esprit,1998,"École La Rose des vents, 355, Avenue de la Jeunesse (pointe-au-Père)",Intégration…1%,École la Rose des vents,Peinture, , ,,48.50741189,-68.46092227,Sylvie Pomerleau, , , , ,Point
62,10043,INT-14, ,Envols Satori,1991,"École Saint-Jean245, 2e rue Ouest, Rimouski",Intégration…1%,École Saint-Jean,Peinture, , ,,48.43890378,-68.52603885,Gilles Gladu, , , , ,Point
63,10043,INT-13, ,Non titrée,1990,"École Beaux-Séjours, Sainte-Odile, Rimouski",Intégration…1%,"École Beaux-Séjours, Sainte-Odile, Rimouski",Peinture,"Peinture, crayon, contreplaqué, plexiglass", ,,48.43082466,-68.54462185,Bruno Santerre, , , , ,Point
64,10043,INT-15, ,Ton bateau blanc,1993,"ISMER, UQAR, 300 allée des Ursulines, Rimouski",Intégration…1%,UQAR,Installation, , ,"Hauteur 2,60 m - Largeur 0,71 m - Longueur 1,2 m & Hauteur 2,60 m - Largeur 4,16 m - Longueur 7,71 m",48.45254682,-68.51081066,Marie-Christine Landry, , , , ,Point
65,10043,INT-16, ,Cette histoire est vraie parce que je l’,2003,"École de l’Estran, 399 rue Lasalle, Nazareth, Rimouski",intégration de l’art à l’architecture, ,Peinture,"Peinture, acrylique sur masonite", ,"Hauteur 0,91 m - Longueur 4,42 m",48.44341731,-68.54822909,Gilles Pitre, , , ,"État : bon, quelques égratignures  dans le coin inférieur droit",Point
66,10043,INT-17, ,La musique du regard,2008,"École de musique du Bas-Saint-Laurent, 22 rue Sainte-Marie, Rimouski", ,École de musique du BSL,Peinture,"Peinture Acrylique sur bois, fibre de pin, bois", ,,48.4499763,-68.52777565,Michel Lagacé, , , ,"État : bon, quelques éraflures dans le bas de l’œuvre",Point
67,10043,INT-18, ,Le puits et la balançoire,1989,"École des Merisiers, 658, route des pionniers, (Sainte-Blandine), Rimouski",intégration de l’art à l’architecture,École des Merisiers,Installation,"Bois, plexiglass, corde, tronc et branche d’arbre", ,,48.36133284,-68.46014654,Marie-Chrystine Landry, , , ,État : Excellent,Point
68,10043,INT-20, ,Huit temps,2010,"Centre hospitalier régional de Rimouski, 150 rue Rouleau, Rimouski",Intégration des arts à l’architecture,Centre hospitalier régional de Rimouski,Photographies modifiées et boîtes lumineuses, , ,,48.44693979,-68.53100056,Yvan Binet, , , , ,Point
69,10043,INT-19, ,"L’envolée des oies, Bic",0,Salle d’attente du service de radiologie, ,Centre hospitalier régional de Rimouski,Photographies couleurs, , ,"Hauteur 64,50 m - Largeur 0,04 m - Longueur 70,50 m",48.44693306,-68.5310086,Jean Albert, , , , ,Point
70,10043,INT-21, ,Un après-midi sous un arbre,1995,Plafond du hall de la radiothérapie,Intégration des arts à l’architecture,Centre hospitalier régional de Rimouski,"Photographies, boîtes lumineuses", , ,,48.44694603,-68.53099174,Roberto Pellegrinuzzi, , , , ,Point
71,10043,EXT-51,Parcours du centre-ville,Eau vive,1994,"Centre hospitalier régional de Rimouski, 150 rue Rouleau",Intégration…1%,Centre hospitalier régional de Rimouski,Sculpture,Aluminium soudé et brossé, ,,48.44692775,-68.53111918,Hélène Rochette, , , , ,Point
72,10043,INT-22, ,Transit-Fusion,2008,Bibliothèque Lisette-Morin, ,Ville de Rimouski,"Polyptyque, acrylique sur plexiglas", , ,"Largeur 0,61 m - Longueur 0,76 m",48.45182623,-68.52041854,Marie-Claude Hamel, , , , ,Point
73,10043,INT-23, ,Non titrée,1980,"Sureté du Québec, poste de Rimouski, 393 Vanier, Rimouski", ,Sureté du Québec,Peinture, , ,,48.4404708,-68.54431948,Bruno Santerre, , , ,État : excellent,Point
74,10043,INT-24, ,Non titrée,1980,"Sureté du Québec, poste de Rimouski, 393 Vanier, Rimouski",Intégration…1%,Sureté du Québec,Peinture, , ,,48.44047051,-68.5442929,Marius Jomphe, , , , ,Point
75,10043,INT-25, ,Triangles de lumière,1987,"Centre administratif de la commission scolaire des Phares, 435, avenue Rouleau, Rimouski",Intégration…1%,Commission scolaire des Phares,Sculpture, , ,,48.43640031,-68.51655714,Michel Lagacé, , , , ,Point
76,10043,INT-26, ,Non titrée,1990,"ISMER, Station aquicole, 981 rue Marconi, Rimouski (Secteur Pointe-au-Père)",Intégration…1%,UQAR,Sculpture, , ,,48.51453634,-68.46861765,André R. Du Bois, , , , ,Point
